日付,機種名,台番号,G数,差枚,BB,RB,合成確率,BB確率,RB確率
2023-01-02,マイジャグラーV,131,569,-10,3,0,1/189.7,1/189.7,1/0.0
2023-01-02,マイジャグラーV,132,1093,-274,4,2,1/182.2,1/273.2,1/546.5
2023-01-02,マイジャグラーV,133,4490,-329,18,8,1/172.7,1/249.4,1/561.2
2023-01-02,マイジャグラーV,135,622,-755,0,0,1/0.0,1/0.0,1/0.0
2023-01-02,マイジャグラーV,136,3491,-1058,10,8,1/193.9,1/349.1,1/436.4
2023-01-02,マイジャグラーV,平均,2053,-485,7,4,1/193.7,1/293.3,1/570.3
2023-01-02,ファンキージャグラー2,137,885,+520,6,0,1/147.5,1/147.5,1/0.0
2023-01-02,ファンキージャグラー2,138,5727,+925,25,16,1/139.7,1/229.1,1/357.9
2023-01-02,ファンキージャグラー2,150,771,-677,1,0,1/771.0,1/771.0,1/0.0
2023-01-02,ファンキージャグラー2,151,3921,-262,15,9,1/163.4,1/261.4,1/435.7
2023-01-02,ファンキージャグラー2,平均,2826,+126,12,6,1/157.0,1/240.5,1/452.2
2023-01-02,HEY！エリートサラリーマン鏡,203,4265,+3577,29,15,1/96.9,1/147.1,1/284.3
2023-01-02,HEY！エリートサラリーマン鏡,205,2509,+310,12,6,1/139.4,1/209.1,1/418.2
2023-01-02,HEY！エリートサラリーマン鏡,206,6746,+403,34,12,1/146.7,1/198.4,1/562.2
2023-01-02,HEY！エリートサラリーマン鏡,平均,4507,+1430,25,11,1/125.2,1/180.3,1/409.7
2023-01-02,アイムジャグラーEX,127,1622,+86,7,1,1/202.8,1/231.7,1/1622.0
2023-01-02,アイムジャグラーEX,128,2013,+219,9,4,1/154.8,1/223.7,1/503.2
2023-01-02,アイムジャグラーEX,130,1093,-865,2,0,1/546.5,1/546.5,1/0.0
2023-01-02,アイムジャグラーEX,平均,1576,-187,6,2,1/205.6,1/262.7,1/945.6
2023-01-02,バキ 強くなりたくば喰らえ!!!,188,1183,-1441,5,3,1/147.9,1/236.6,1/394.3
2023-01-02,バキ 強くなりたくば喰らえ!!!,200,272,-332,1,1,1/136.0,1/272.0,1/272.0
2023-01-02,バキ 強くなりたくば喰らえ!!!,201,3801,-3925,18,15,1/115.2,1/211.2,1/253.4
2023-01-02,バキ 強くなりたくば喰らえ!!!,平均,1752,-1899,8,6,1/122.2,1/219.0,1/276.6
2023-01-02,バジリスク絆2,112,1242,-404,11,7,1/69.0,1/112.9,1/177.4
2023-01-02,バジリスク絆2,113,0,0,0,0,1/0.0,1/0.0,1/0.0
2023-01-02,バジリスク絆2,115,0,0,0,0,1/0.0,1/0.0,1/0.0
2023-01-02,バジリスク絆2,平均,414,-135,4,2,1/69.0,1/112.9,1/177.4
2023-01-02,押忍!番長ZERO,175,597,-30,6,2,1/74.6,1/99.5,1/298.5
2023-01-02,押忍!番長ZERO,176,1578,+2230,38,4,1/37.6,1/41.5,1/394.5
2023-01-02,押忍!番長ZERO,177,635,+959,17,3,1/31.8,1/37.4,1/211.7
2023-01-02,押忍!番長ZERO,平均,937,+1053,20,3,1/40.1,1/46.1,1/312.2
2023-01-02,アラジンAクラシック,120,991,-1197,3,0,1/330.3,1/330.3,1/0.0
2023-01-02,アラジンAクラシック,121,2063,-154,30,2,1/64.5,1/68.8,1/1031.5
2023-01-02,アラジンAクラシック,平均,1527,-676,16,1,1/87.3,1/92.5,1/1527.0
2023-01-02,ディスクアップ2,122,991,+825,5,5,1/99.1,1/198.2,1/198.2
2023-01-02,ディスクアップ2,123,73,-141,0,0,1/0.0,1/0.0,1/0.0
2023-01-02,ディスクアップ2,平均,532,+342,2,2,1/106.4,1/212.8,1/212.8
2023-01-02,ハッピージャグラーVIII,125,1630,-326,4,6,1/163.0,1/407.5,1/271.7
2023-01-02,ハッピージャグラーVIII,126,4366,+600,18,14,1/136.4,1/242.6,1/311.9
2023-01-02,ハッピージャグラーVIII,平均,2998,+137,11,10,1/142.8,1/272.5,1/299.8
2023-01-02,モンスターハンター:ワールド,153,1047,+604,31,0,1/33.8,1/33.8,1/0.0
2023-01-02,モンスターハンター:ワールド,173,4060,+393,86,4,1/45.1,1/47.2,1/1015.0
2023-01-02,モンスターハンター:ワールド,平均,2554,+498,58,2,1/42.2,1/43.6,1/1276.8
2023-01-02,幼女戦記,181,263,-86,3,0,1/87.7,1/87.7,1/0.0
2023-01-02,幼女戦記,182,1160,+1284,69,7,1/15.3,1/16.8,1/165.7
2023-01-02,幼女戦記,平均,712,+599,36,4,1/18.0,1/19.8,1/203.3
2023-01-02,政宗 戦極,183,0,0,0,0,1/0.0,1/0.0,1/0.0
2023-01-02,政宗 戦極,185,0,0,0,0,1/0.0,1/0.0,1/0.0
2023-01-02,政宗 戦極,平均,0,0,0,0,1/0.0,1/0.0,1/0.0
2023-01-02,新ハナビ,117,93,-170,0,0,1/0.0,1/0.0,1/0.0
2023-01-02,新ハナビ,118,6028,-830,19,16,1/172.2,1/317.3,1/376.8
2023-01-02,新ハナビ,平均,3060,-500,10,8,1/174.9,1/322.2,1/382.6
2023-01-02,犬夜叉,178,2317,-2126,14,9,1/100.7,1/165.5,1/257.4
2023-01-02,犬夜叉,180,2714,-971,28,11,1/69.6,1/96.9,1/246.7
2023-01-02,犬夜叉,平均,2516,-1548,21,10,1/81.1,1/119.8,1/251.6
