日付,機種名,台番号,G数,差枚,BB,RB,合成確率,BB確率,RB確率
2023-03-01,アイムジャグラーEX,118,533,-714,0,0,1/0.0,1/0.0,1/0.0
2023-03-01,アイムジャグラーEX,120,1601,+390,8,3,1/145.5,1/200.1,1/533.7
2023-03-01,アイムジャグラーEX,121,1941,-1168,2,6,1/242.6,1/970.5,1/323.5
2023-03-01,アイムジャグラーEX,122,1534,-474,5,1,1/255.7,1/306.8,1/1534.0
2023-03-01,アイムジャグラーEX,123,1092,-283,3,3,1/182.0,1/364.0,1/364.0
2023-03-01,アイムジャグラーEX,125,2305,-40,7,6,1/177.3,1/329.3,1/384.2
2023-03-01,アイムジャグラーEX,平均,1501,-382,4,3,1/204.7,1/360.2,1/474.0
2023-03-01,ディスクアップ2,60,3742,+2086,18,7,1/149.7,1/207.9,1/534.6
2023-03-01,ディスクアップ2,61,1,-3,0,0,1/0.0,1/0.0,1/0.0
2023-03-01,ディスクアップ2,62,3138,+665,11,6,1/184.6,1/285.3,1/523.0
2023-03-01,ディスクアップ2,平均,2294,+916,10,4,1/163.8,1/237.3,1/529.3
2023-03-01,ハッピージャグラーVIII,130,167,-238,0,0,1/0.0,1/0.0,1/0.0
2023-03-01,ハッピージャグラーVIII,131,4551,-783,12,17,1/156.9,1/379.2,1/267.7
2023-03-01,ハッピージャグラーVIII,132,906,-347,3,1,1/226.5,1/302.0,1/906.0
2023-03-01,ハッピージャグラーVIII,平均,1875,-456,5,6,1/170.4,1/374.9,1/312.4
2023-03-01,マイジャグラーV,126,6306,-898,20,17,1/170.4,1/315.3,1/370.9
2023-03-01,マイジャグラーV,127,1171,-793,1,3,1/292.8,1/1171.0,1/390.3
2023-03-01,マイジャグラーV,128,5179,-281,15,18,1/156.9,1/345.3,1/287.7
2023-03-01,マイジャグラーV,平均,4219,-657,12,13,1/171.0,1/351.6,1/333.1
2023-03-01,ひぐらしのなく頃に祭2,21,0,0,0,0,1/0.0,1/0.0,1/0.0
2023-03-01,ひぐらしのなく頃に祭2,22,697,+268,2,1,1/232.3,1/348.5,1/697.0
2023-03-01,ひぐらしのなく頃に祭2,平均,348,+134,1,0,1/232.3,1/348.5,1/697.0
2023-03-01,チバリヨ‐25,66,902,-891,1,1,1/451.0,1/902.0,1/902.0
2023-03-01,チバリヨ‐25,67,245,-361,0,0,1/0.0,1/0.0,1/0.0
2023-03-01,チバリヨ‐25,平均,574,-626,0,0,1/573.5,1/1147.0,1/1147.0
2023-03-01,ニューパルサーDX3,113,640,+66,2,2,1/160.0,1/320.0,1/320.0
2023-03-01,ニューパルサーDX3,115,155,-167,0,0,1/0.0,1/0.0,1/0.0
2023-03-01,ニューパルサーDX3,平均,398,-50,1,1,1/198.8,1/397.5,1/397.5
2023-03-01,ニューパルサーSPⅢ,133,0,0,0,0,1/0.0,1/0.0,1/0.0
2023-03-01,ニューパルサーSPⅢ,135,53,-25,0,0,1/0.0,1/0.0,1/0.0
2023-03-01,ニューパルサーSPⅢ,平均,26,-12,0,0,1/0.0,1/0.0,1/0.0
2023-03-01,ハードボイルド,18,292,-390,0,0,1/0.0,1/0.0,1/0.0
2023-03-01,ハードボイルド,20,202,-276,0,0,1/0.0,1/0.0,1/0.0
2023-03-01,ハードボイルド,平均,247,-333,0,0,1/0.0,1/0.0,1/0.0
2023-03-01,リノヘブン,701,132,-213,0,0,1/0.0,1/0.0,1/0.0
2023-03-01,リノヘブン,703,1047,+1332,8,5,1/80.5,1/130.9,1/209.4
2023-03-01,リノヘブン,平均,590,+560,4,2,1/90.7,1/147.4,1/235.8
2023-03-01,主役は銭形3,13,1416,-448,4,3,1/202.3,1/354.0,1/472.0
2023-03-01,主役は銭形3,15,1848,-560,4,5,1/205.3,1/462.0,1/369.6
2023-03-01,主役は銭形3,平均,1632,-504,4,4,1/204.0,1/408.0,1/408.0
2023-03-01,劇場版 魔法少女まどか☆マギカ[前編]始まりの物語/[後編]永遠の物語,718,0,0,0,0,1/0.0,1/0.0,1/0.0
2023-03-01,劇場版 魔法少女まどか☆マギカ[前編]始まりの物語/[後編]永遠の物語,720,1160,+183,13,13,1/44.6,1/89.2,1/89.2
2023-03-01,劇場版 魔法少女まどか☆マギカ[前編]始まりの物語/[後編]永遠の物語,平均,580,+92,6,6,1/44.6,1/89.2,1/89.2
2023-03-01,新ハナビ,136,214,-182,0,0,1/0.0,1/0.0,1/0.0
2023-03-01,新ハナビ,137,1874,-216,5,6,1/170.4,1/374.8,1/312.3
2023-03-01,新ハナビ,平均,1044,-199,2,3,1/189.8,1/417.6,1/348.0
2023-03-01,甲鉄城のカバネリ,16,0,0,0,0,1/0.0,1/0.0,1/0.0
2023-03-01,甲鉄城のカバネリ,17,1656,+443,14,3,1/97.4,1/118.3,1/552.0
2023-03-01,甲鉄城のカバネリ,平均,828,+222,7,2,1/97.4,1/118.3,1/552.0
2023-03-01,盾の勇者の成り上がり,63,1857,-1836,9,3,1/154.8,1/206.3,1/619.0
2023-03-01,盾の勇者の成り上がり,65,1814,-87,26,5,1/58.5,1/69.8,1/362.8
2023-03-01,盾の勇者の成り上がり,平均,1836,-962,18,4,1/85.4,1/104.9,1/458.9
2023-03-01,花火絶景,108,3407,+114,7,5,1/283.9,1/486.7,1/681.4
2023-03-01,花火絶景,110,583,-188,1,0,1/583.0,1/583.0,1/0.0
2023-03-01,花火絶景,平均,1995,-37,4,2,1/306.9,1/498.8,1/798.0
2023-03-01,閉鎖,700,0,0,0,0,1/0.0,1/0.0,1/0.0
2023-03-01,閉鎖,702,0,0,0,0,1/0.0,1/0.0,1/0.0
2023-03-01,閉鎖,平均,0,0,0,0,1/0.0,1/0.0,1/0.0
2023-03-01,闘魂継承 アントニオ猪木という名のパチスロ機,1,0,0,0,0,1/0.0,1/0.0,1/0.0
2023-03-01,モンスターハンター:ワールドTM 黄金狩猟,2,0,0,0,0,1/0.0,1/0.0,1/0.0
2023-03-01,新鬼武者～DAWN OF DREAMS～,3,0,0,0,0,1/0.0,1/0.0,1/0.0
2023-03-01,アラジンAクラシック,5,3263,+1422,40,3,1/75.9,1/81.6,1/1087.7
2023-03-01,鉄拳4アルティメットデビルVer.,6,0,0,0,0,1/0.0,1/0.0,1/0.0
2023-03-01,GANTZ極 THE SURVIVAL GAME,7,11,-16,0,0,1/0.0,1/0.0,1/0.0
2023-03-01,花の慶次～武威～,8,0,0,0,0,1/0.0,1/0.0,1/0.0
2023-03-01,ラブ嬢2,10,0,0,0,0,1/0.0,1/0.0,1/0.0
2023-03-01,キャッツアイ,11,426,-599,0,0,1/0.0,1/0.0,1/0.0
2023-03-01,バジリスク絆2,12,557,-322,5,1,1/92.8,1/111.4,1/557.0
2023-03-01,ボンバーパワフルIII,23,147,-142,0,0,1/0.0,1/0.0,1/0.0
2023-03-01,政宗 戦極,25,0,0,0,0,1/0.0,1/0.0,1/0.0
2023-03-01,黄門ちゃまV女神盛‐MEGAMORI‐,26,0,0,0,0,1/0.0,1/0.0,1/0.0
2023-03-01,とある科学の超電磁砲,27,936,+96,20,2,1/42.5,1/46.8,1/468.0
2023-03-01,サラリーマン金太郎～MAX～,28,0,0,0,0,1/0.0,1/0.0,1/0.0
2023-03-01,BOOWY,30,103,-136,0,0,1/0.0,1/0.0,1/0.0
2023-03-01,ノーゲーム・ノーライフ,31,0,0,0,0,1/0.0,1/0.0,1/0.0
2023-03-01,新鬼武者2,32,931,-617,4,1,1/186.2,1/232.8,1/931.0
2023-03-01,交響詩篇エウレカセブン3 HI-EVOLUTION ZERO,33,0,0,0,0,1/0.0,1/0.0,1/0.0
2023-03-01,犬夜叉,35,238,+377,7,1,1/29.8,1/34.0,1/238.0
2023-03-01,コードギアス反逆のルルーシュ3,36,0,0,0,0,1/0.0,1/0.0,1/0.0
2023-03-01,押忍!番長ZERO,37,0,0,0,0,1/0.0,1/0.0,1/0.0
2023-03-01,天元突破グレンラガン,38,40,-37,0,0,1/0.0,1/0.0,1/0.0
2023-03-01,スーパーリオエース,50,2023,-1178,5,2,1/289.0,1/404.6,1/1011.5
2023-03-01,ブラックラグーン4,51,7,-15,0,0,1/0.0,1/0.0,1/0.0
2023-03-01,バイオハザード RE:2,52,0,0,0,0,1/0.0,1/0.0,1/0.0
2023-03-01,ガンダム クロスオーバー,53,0,0,0,0,1/0.0,1/0.0,1/0.0
2023-03-01,幼女戦記,55,1200,-476,15,1,1/75.0,1/80.0,1/1200.0
2023-03-01,笑ゥせぇるすまん絶笑,56,597,+224,7,2,1/66.3,1/85.3,1/298.5
2023-03-01,デビル メイ クライ 5,57,0,0,0,0,1/0.0,1/0.0,1/0.0
2023-03-01,実況BINGO倶楽部,58,0,0,0,0,1/0.0,1/0.0,1/0.0
2023-03-01,HEY!鏡,68,1380,+152,8,3,1/125.5,1/172.5,1/460.0
2023-03-01,押忍!サラリーマン番長2,70,0,0,0,0,1/0.0,1/0.0,1/0.0
2023-03-01,ゴッドイーター ジ・アニメーション,71,0,0,0,0,1/0.0,1/0.0,1/0.0
2023-03-01,鉄拳5,72,0,0,0,0,1/0.0,1/0.0,1/0.0
2023-03-01,バイオハザード7 レジデント イービル,73,0,0,0,0,1/0.0,1/0.0,1/0.0
2023-03-01,モンキーターンⅣ,75,1004,+1201,13,1,1/71.7,1/77.2,1/1004.0
2023-03-01,政宗3,76,0,0,0,0,1/0.0,1/0.0,1/0.0
2023-03-01,うしおととら 雷槍一閃,77,3,-5,0,0,1/0.0,1/0.0,1/0.0
2023-03-01,スーパービンゴギャラクシー,78,1500,-377,4,4,1/187.5,1/375.0,1/375.0
2023-03-01,モンスターハンター:ワールド,80,0,0,0,0,1/0.0,1/0.0,1/0.0
2023-03-01,ガメラ,111,196,-301,0,0,1/0.0,1/0.0,1/0.0
2023-03-01,ピンクパンサーSP,112,1045,+146,4,2,1/174.2,1/261.2,1/522.5
2023-03-01,Re:ゼロから始める異世界生活Apex Vacation,116,342,-158,1,0,1/342.0,1/342.0,1/0.0
2023-03-01,ケロット4,117,18,-20,0,0,1/0.0,1/0.0,1/0.0
2023-03-01,マッピー,138,1055,-633,3,1,1/263.8,1/351.7,1/1055.0
2023-03-01,サンダーVライトニング,150,0,0,0,0,1/0.0,1/0.0,1/0.0
2023-03-01,CCエンジェル,151,0,0,0,0,1/0.0,1/0.0,1/0.0
2023-03-01,バーサスリヴァイズ,152,1223,-872,2,2,1/305.8,1/611.5,1/611.5
2023-03-01,革命機ヴァルヴレイヴ,688,5166,-1501,17,6,1/224.6,1/303.9,1/861.0
2023-03-01,喰霊‐零‐ 運命乱～うんめいのみだれ～,705,0,0,0,0,1/0.0,1/0.0,1/0.0
2023-03-01,トータル・イクリプス2,706,0,0,0,0,1/0.0,1/0.0,1/0.0
2023-03-01,ガールズ＆パンツァーG～これが私の戦車道です！～,707,188,-200,0,1,1/188.0,1/0.0,1/188.0
2023-03-01,戦国乙女3～天剣を継ぐもの～,708,0,0,0,0,1/0.0,1/0.0,1/0.0
2023-03-01,みうのおしゃべりパチスロ,710,0,0,0,0,1/0.0,1/0.0,1/0.0
2023-03-01,スカイガールズ~ゼロのツバサ~,711,0,0,0,0,1/0.0,1/0.0,1/0.0
2023-03-01,～ガールズケイリン～GIフェアリーグランプリ,712,0,0,0,0,1/0.0,1/0.0,1/0.0
2023-03-01,Re:ゼロから始める異世界生活,713,0,0,0,0,1/0.0,1/0.0,1/0.0
2023-03-01,マジカルハロウィン7,715,0,0,0,0,1/0.0,1/0.0,1/0.0
2023-03-01,マジカルハロウィン～Trick or Treat!～,716,18,-36,0,0,1/0.0,1/0.0,1/0.0
2023-03-01,エヴァンゲリオン フェスティバル,717,0,0,0,0,1/0.0,1/0.0,1/0.0
