日付,機種名,台番号,G数,差枚,BB,RB,合成確率,BB確率,RB確率
2023-11-25,アイムジャグラーEX-TP,561,7143,-1900,22,16,1/188.0,1/324.7,1/446.4
2023-11-25,アイムジャグラーEX-TP,562,7915,+2000,39,17,1/141.3,1/202.9,1/465.6
2023-11-25,アイムジャグラーEX-TP,563,7532,+5000,48,25,1/103.2,1/156.9,1/301.3
2023-11-25,アイムジャグラーEX-TP,564,6906,+1600,33,19,1/132.8,1/209.3,1/363.5
2023-11-25,アイムジャグラーEX-TP,565,6585,-800,21,19,1/164.6,1/313.6,1/346.6
2023-11-25,アイムジャグラーEX-TP,566,7336,+1500,35,21,1/131.0,1/209.6,1/349.3
2023-11-25,アイムジャグラーEX-TP,567,5698,-600,18,13,1/183.8,1/316.6,1/438.3
2023-11-25,アイムジャグラーEX-TP,568,6824,+100,25,20,1/151.6,1/273.0,1/341.2
2023-11-25,アイムジャグラーEX-TP,569,8273,+300,27,34,1/135.6,1/306.4,1/243.3
2023-11-25,アイムジャグラーEX-TP,570,7150,+100,27,20,1/152.1,1/264.8,1/357.5
2023-11-25,アイムジャグラーEX-TP,571,8092,-100,26,30,1/144.5,1/311.2,1/269.7
2023-11-25,アイムジャグラーEX-TP,572,6214,-200,24,14,1/163.5,1/258.9,1/443.9
2023-11-25,アイムジャグラーEX-TP,621,8040,-1600,20,33,1/151.7,1/402.0,1/243.6
2023-11-25,アイムジャグラーEX-TP,622,7261,-900,23,22,1/161.4,1/315.7,1/330.0
2023-11-25,アイムジャグラーEX-TP,623,7448,-1900,23,18,1/181.7,1/323.8,1/413.8
2023-11-25,アイムジャグラーEX-TP,624,7215,-300,22,26,1/150.3,1/328.0,1/277.5
2023-11-25,アイムジャグラーEX-TP,625,9196,+2700,41,35,1/121.0,1/224.3,1/262.7
2023-11-25,アイムジャグラーEX-TP,626,7184,-200,22,28,1/143.7,1/326.5,1/256.6
2023-11-25,アイムジャグラーEX-TP,627,7770,+1400,33,24,1/136.3,1/235.5,1/323.8
2023-11-25,アイムジャグラーEX-TP,628,5612,-1800,14,17,1/181.0,1/400.9,1/330.1
2023-11-25,アイムジャグラーEX-TP,629,6930,-2100,19,17,1/192.5,1/364.7,1/407.6
2023-11-25,アイムジャグラーEX-TP,630,6068,-1400,20,9,1/209.2,1/303.4,1/674.2
2023-11-25,アイムジャグラーEX-TP,631,6952,-900,24,18,1/165.5,1/289.7,1/386.2
2023-11-25,アイムジャグラーEX-TP,632,9081,-600,26,41,1/135.5,1/349.3,1/221.5
2023-11-25,アイムジャグラーEX-TP,633,7855,+5900,52,27,1/99.4,1/151.1,1/290.9
2023-11-25,アイムジャグラーEX-TP,634,8134,+2500,36,37,1/111.4,1/225.9,1/219.8
2023-11-25,アイムジャグラーEX-TP,635,8123,+2200,36,26,1/131.0,1/225.6,1/312.4
2023-11-25,アイムジャグラーEX-TP,636,8376,+300,32,27,1/142.0,1/261.8,1/310.2
2023-11-25,アイムジャグラーEX-TP,637,9367,-2900,20,31,1/183.7,1/468.4,1/302.2
2023-11-25,アイムジャグラーEX-TP,638,9245,+3000,43,36,1/117.0,1/215.0,1/256.8
2023-11-25,アイムジャグラーEX-TP,639,9029,-300,27,44,1/127.2,1/334.4,1/205.2
