機種名_台番号↓/日付→,2023-11-01,2023-11-02,2023-11-03,2023-11-04,2023-11-05,2023-11-06,2023-11-07,2023-11-08,2023-11-09,2023-11-10,2023-11-11,2023-11-12,2023-11-13,2023-11-14,2023-11-15,2023-11-16,2023-11-17,2023-11-18,2023-11-19,2023-11-20,2023-11-21,2023-11-22,2023-11-23,2023-11-24,2023-11-25,2023-11-26,2023-11-27,2023-11-28,2023-11-29,2023-11-30
アイムジャグラーEX-TP,100.8,95.6,97.8,96.1,99.0,95.1,98.6,95.9,92.0,98.1,98.7,95.9,96.2,94.0,97.1,93.7,100.2,99.9,96.5,97.6,96.5,97.3,102.7,100.1,101.3,101.6,102.2,100.9,100.1,100.2
マイジャグラーV,99.3,94.1,97.1,97.9,99.7,95.3,100.4,98.6,98.5,96.4,102.4,98.8,97.1,98.7,99.0,96.2,101.3,101.8,96.3,98.7,94.1,99.0,100.8,103.9,100.7,99.6,104.6,105.4,99.8,101.5
ファンキージャグラー2,107.2,90.6,97.3,92.3,94.9,98.8,97.5,86.2,91.2,95.0,101.4,93.3,96.4,95.3,92.7,90.8,100.4,99.5,96.3,92.0,95.4,97.5,102.1,100.7,103.9,98.3,103.5,101.9,95.7,99.6
スマスロ北斗の拳,95.2,97.9,103.7,97.6,97.5,91.8,105.1,106.0,98.1,84.9,110.0,109.2,103.1,92.0,93.6,97.0,103.0,114.3,96.0,109.6,99.8,96.6,107.8,100.4,95.4,105.4,109.4,102.2,95.1,105.6
革命機ヴァルヴレイヴ,91.9,83.3,100.6,96.4,90.3,88.9,102.3,128.9,77.8,94.8,100.9,101.7,88.5,71.6,94.0,117.2,97.8,93.4,85.5,63.6,99.8,93.7,88.8,107.5,111.7,85.6,109.5,113.7,79.6,74.3
ゴーゴージャグラー3,98.9,97.2,95.8,99.6,101.5,89.3,100.5,98.3,95.0,96.9,99.2,95.9,90.4,99.2,95.8,97.9,103.5,95.1,99.7,99.1,95.9,102.7,105.5,99.7,101.9,100.9,102.5,96.2,100.8,102.6
押忍!番長ZERO,96.9,105.7,91.8,88.5,92.2,88.5,100.9,105.3,83.2,101.0,102.7,103.1,93.5,85.0,89.9,87.8,88.5,82.5,149.5,91.9,86.0,80.5,105.7,102.5,89.0,86.5,111.1,116.1,89.4,98.0
甲鉄城のカバネリ,99.5,165.2,102.4,88.8,154.2,105.8,105.7,95.4,99.1,120.8,112.6,113.1,101.4,80.7,89.8,115.8,105.0,103.1,93.7,100.5,107.2,100.3,95.6,100.1,103.0,102.0,98.2,94.9,97.6,110.2
ハッピージャグラーVIII,104.5,95.4,93.0,97.8,94.5,89.9,95.2,86.8,84.3,85.4,95.4,99.3,98.4,92.0,94.6,89.7,93.0,97.0,95.9,94.8,93.3,93.4,98.4,100.4,112.3,105.4,103.3,94.3,98.2,108.1
ゴブリンスレイヤー,71.6,76.0,66.1,106.8,68.2,88.2,207.8,60.4,81.2,82.1,111.9,65.6,87.8,126.5,88.8,84.1,75.8,91.1,117.4,78.5,141.8,98.9,96.7,76.2,62.0,115.3,90.2,67.9,69.3,91.2
