機種名,G数,差枚,BB,RB,BB確率,RB確率,合成確率,機械割,総G数,総差枚
559_(アイムジャグラーEX-TP),3800,-100,12,13,316.7,292.3,152.0,99.1,45601,-1200
560_(アイムジャグラーEX-TP),4652,283,17,15,273.6,310.1,145.4,102.0,55822,3400
561_(アイムジャグラーEX-TP),5078,-187,17,16,298.7,317.4,153.9,98.8,152327,-5600
562_(アイムジャグラーEX-TP),4775,310,18,15,265.3,318.3,144.7,102.2,143240,9300
563_(アイムジャグラーEX-TP),3881,53,14,13,277.2,298.5,143.7,100.5,116437,1600
564_(アイムジャグラーEX-TP),4255,230,16,13,265.9,327.3,146.7,101.8,127644,6900
565_(アイムジャグラーEX-TP),4605,380,18,15,255.8,307.0,139.5,102.8,138148,11400
566_(アイムジャグラーEX-TP),4141,357,17,12,243.6,345.1,142.8,102.9,124230,10700
567_(アイムジャグラーEX-TP),4078,110,15,12,271.9,339.8,151.0,100.9,122352,3300
568_(アイムジャグラーEX-TP),4168,237,16,13,260.5,320.6,143.7,101.9,125027,7100
569_(アイムジャグラーEX-TP),4954,390,19,16,260.7,309.6,141.5,102.6,148621,11700
570_(アイムジャグラーEX-TP),5079,287,19,16,267.3,317.4,145.1,101.9,152380,8600
571_(アイムジャグラーEX-TP),4421,140,16,14,276.3,315.8,147.4,101.1,132619,4200
572_(アイムジャグラーEX-TP),3980,210,16,11,248.8,361.8,147.4,101.8,119402,6300
621_(アイムジャグラーEX-TP),4450,67,16,13,278.1,342.3,153.4,100.5,133509,2000
622_(アイムジャグラーEX-TP),4855,260,19,15,255.5,323.7,142.8,101.8,145661,7800
623_(アイムジャグラーEX-TP),5733,187,21,19,273.0,301.7,143.3,101.1,172003,5600
624_(アイムジャグラーEX-TP),5021,53,18,16,278.9,313.8,147.7,100.4,150641,1600
625_(アイムジャグラーEX-TP),4942,307,19,16,260.1,308.9,141.2,102.1,148268,9200
626_(アイムジャグラーEX-TP),4450,183,17,13,261.8,342.3,148.3,101.4,133507,5500
627_(アイムジャグラーEX-TP),4518,350,18,14,251.0,322.7,141.2,102.6,135526,10500
628_(アイムジャグラーEX-TP),4696,233,18,14,260.9,335.4,146.8,101.7,140878,7000
629_(アイムジャグラーEX-TP),4467,203,16,15,279.2,297.8,144.1,101.5,133997,6100
630_(アイムジャグラーEX-TP),4641,277,17,15,273.0,309.4,145.0,102.0,139218,8300
631_(アイムジャグラーEX-TP),4407,123,16,14,275.4,314.8,146.9,100.9,132198,3700
632_(アイムジャグラーEX-TP),5376,-97,19,17,282.9,316.2,149.3,99.4,161273,-2900
633_(アイムジャグラーEX-TP),4714,340,18,15,261.9,314.3,142.8,102.4,141427,10200
634_(アイムジャグラーEX-TP),4584,423,17,16,269.6,286.5,138.9,103.1,137509,12700
635_(アイムジャグラーEX-TP),4217,507,17,14,248.1,301.2,136.0,104.0,126517,15200
636_(アイムジャグラーEX-TP),4254,150,16,13,265.9,327.2,146.7,101.2,127632,4500
637_(アイムジャグラーEX-TP),4821,7,17,16,283.6,301.3,146.1,100.0,144640,200
638_(アイムジャグラーEX-TP),4039,37,15,13,269.3,310.7,144.2,100.3,121177,1100
639_(アイムジャグラーEX-TP),4257,363,17,14,250.4,304.1,137.3,102.8,127708,10900
640_(アイムジャグラーEX-TP),4453,-90,16,13,278.3,342.5,153.6,99.3,133588,-2700
641_(アイムジャグラーEX-TP),4231,220,16,13,264.4,325.5,145.9,101.7,126941,6600
497_(マイジャグラーV),5524,267,21,16,263.0,345.2,149.3,101.6,165707,8000
498_(マイジャグラーV),6017,350,23,18,261.6,334.3,146.8,101.9,180511,10500
499_(マイジャグラーV),5346,533,22,16,243.0,334.1,140.7,103.3,160386,16000
500_(マイジャグラーV),6575,80,24,19,274.0,346.1,152.9,100.4,197262,2400
541_(マイジャグラーV),6310,53,23,18,274.3,350.6,153.9,100.3,189304,1600
542_(マイジャグラーV),6013,383,23,18,261.4,334.1,146.7,102.1,180389,11500
543_(マイジャグラーV),5783,217,21,19,275.4,304.4,144.6,101.3,173495,6500
544_(マイジャグラーV),5873,313,22,17,267.0,345.5,150.6,101.8,176200,9400
545_(マイジャグラーV),5454,457,22,17,247.9,320.8,139.8,102.8,163607,13700
546_(マイジャグラーV),5504,253,21,17,262.1,323.8,144.8,101.5,165132,7600
547_(マイジャグラーV),5927,480,23,19,257.7,311.9,141.1,102.7,177799,14400
548_(マイジャグラーV),5720,-77,21,17,272.4,336.5,150.5,99.6,171601,-2300
549_(マイジャグラーV),5259,97,20,15,262.9,350.6,150.3,100.6,157778,2900
550_(マイジャグラーV),5988,227,23,18,260.3,332.7,146.0,101.3,179649,6800
551_(マイジャグラーV),5347,63,20,14,267.4,381.9,157.3,100.4,160397,1900
552_(マイジャグラーV),4650,-192,17,11,273.5,422.7,166.1,98.6,55794,-2300
553_(マイジャグラーV),3847,-475,13,10,295.9,384.7,167.3,95.9,46167,-5700
554_(マイジャグラーV),4821,-167,17,14,283.6,344.4,155.5,98.8,57853,-2000
555_(マイジャグラーV),4698,-233,16,14,293.6,335.6,156.6,98.3,56374,-2800
556_(マイジャグラーV),6284,33,23,19,273.2,330.7,149.6,100.2,75405,400
557_(マイジャグラーV),4426,275,18,12,245.9,368.8,147.5,102.1,53108,3300
558_(マイジャグラーV),4479,-167,16,12,279.9,373.2,160.0,98.8,53753,-2000
481_(ファンキージャグラー2),5609,267,22,16,255.0,350.6,147.6,101.6,168260,8000
482_(ファンキージャグラー2),3976,127,15,11,265.1,361.5,152.9,101.1,119268,3800
483_(ファンキージャグラー2),4221,370,17,12,248.3,351.8,145.6,102.9,126632,11100
484_(ファンキージャグラー2),4062,290,16,12,253.9,338.5,145.1,102.4,121857,8700
485_(ファンキージャグラー2),4133,387,17,11,243.1,375.7,147.6,103.1,123991,11600
486_(ファンキージャグラー2),3777,297,15,11,251.8,343.4,145.3,102.6,113312,8900
487_(ファンキージャグラー2),3895,223,16,10,243.4,389.5,149.8,101.9,116842,6700
488_(ファンキージャグラー2),3939,23,15,11,262.6,358.1,151.5,100.2,118182,700
489_(ファンキージャグラー2),3979,387,16,11,248.7,361.7,147.4,103.2,119375,11600
490_(ファンキージャグラー2),3438,500,14,10,245.6,343.8,143.2,104.8,41257,6000
491_(ファンキージャグラー2),4285,200,16,13,267.8,329.6,147.8,101.6,51420,2400
492_(ファンキージャグラー2),3416,-67,12,9,284.7,379.6,162.7,99.3,40987,-800
493_(ファンキージャグラー2),3314,25,12,9,276.2,368.2,157.8,100.3,39769,300
494_(ファンキージャグラー2),3474,75,14,8,248.1,434.2,157.9,100.7,41688,900
495_(ファンキージャグラー2),3850,42,15,11,256.7,350.0,148.1,100.4,46205,500
496_(ファンキージャグラー2),4550,-17,17,14,267.6,325.0,146.8,99.9,54604,-200
334_(スマスロ北斗の拳),3537,-93,36,9,98.2,393.0,78.6,99.1,106114,-2800
335_(スマスロ北斗の拳),3376,-410,32,9,105.5,375.1,82.3,96.0,101290,-12300
336_(スマスロ北斗の拳),3423,53,37,10,92.5,342.3,72.8,100.5,102691,1600
337_(スマスロ北斗の拳),3169,510,38,9,83.4,352.1,67.4,105.4,95056,15300
338_(スマスロ北斗の拳),3619,673,43,10,84.2,361.9,68.3,106.2,108580,20200
339_(スマスロ北斗の拳),3408,1097,45,9,75.7,378.7,63.1,110.7,102242,32900
